,Unnamed: 0,Probability 0,Probability 1,Probability 2,gnb_converted_goals_preds,gnb_no_ties_preds,gnb_points_preds,is_home,log_converted_goals_preds,log_no_ties_preds,log_points_preds,match_id,opp_name,randomForest_converted_goals_preds,randomForest_no_ties_preds,randomForest_points_preds,scheduled,team_name,team_name,opp_name,scheduled,is_home,match_id,points,goals
45,45.0,0.2285517679809611,0.3141092745022705,0.4573389575167685,0.0,0.0,0.0,1.0,0.0,3.0,3.0,122.0,FC Metz,0.0,3.0,3.0,2016-11-19 19:00:00,Toulouse FC,Celta de Vigo,SD Eibar,2016-11-20 18:00:00,0,115.0,0.0,0.0
46,46.0,0.4766991111740476,0.2786018463558932,0.2446990424700593,0.0,0.0,1.0,1.0,0.0,0.0,0.0,130.0,Olympique Lyon,0.0,0.0,0.0,2016-11-19 19:00:00,Lille OSC,Real Sociedad,Sporting Gijon,2016-11-20 18:00:00,0,113.0,3.0,3.0
47,47.0,0.4488530872355875,0.2970256218976133,0.25412129086679913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,Lille OSC,0.0,0.0,0.0,2016-11-19 19:00:00,Olympique Lyon,Real Madrid,Atletico Madrid,2016-11-20 18:00:00,0,118.0,3.0,3.0
48,48.0,0.31371214427705485,0.37858482156886203,0.30770303415408323,0.0,0.0,0.0,0.0,0.0,3.0,1.0,124.0,AS Saint Etienne,0.0,3.0,3.0,2016-11-19 19:00:00,OGC Nice,Real Betis Balompie,Las Palmas UD,2016-11-20 18:00:00,1,112.0,3.0,2.0
49,49.0,0.2500586835868657,0.34061656674551577,0.4093247496676185,0.0,0.0,0.0,1.0,0.0,3.0,3.0,124.0,OGC Nice,0.0,3.0,3.0,2016-11-19 19:00:00,AS Saint Etienne,FC Barcelona,Malaga CF,2016-11-20 18:00:00,1,111.0,1.0,0.0
50,50.0,0.17603496229471294,0.3193489044209237,0.5046161332843633,1.0,3.0,3.0,0.0,1.0,3.0,3.0,126.0,Stade Rennes,1.0,3.0,3.0,2016-11-19 19:00:00,SCO Angers,Villarreal CF,Athletic Bilbao,2016-11-20 18:00:00,0,120.0,0.0,0.0
51,51.0,0.20373541233708767,0.3274615461682002,0.468803041494712,0.0,0.0,0.0,1.0,0.0,3.0,3.0,126.0,SCO Angers,1.0,0.0,1.0,2016-11-19 19:00:00,Stade Rennes,CA Osasuna,CD Leganes,2016-11-20 18:00:00,0,119.0,0.0,0.0
52,52.0,0.5085044521021125,0.3019759678186181,0.1895195800792693,0.0,0.0,0.0,0.0,1.0,0.0,0.0,121.0,SC Bastia,0.0,0.0,3.0,2016-11-19 19:00:00,Montpellier HSC,Valencia CF,Granada CF,2016-11-20 18:00:00,1,116.0,1.0,1.0
53,53.0,0.4757697878259183,0.27669353408828673,0.24753667808579494,0.0,3.0,1.0,1.0,1.0,0.0,0.0,121.0,Montpellier HSC,0.0,0.0,1.0,2016-11-19 19:00:00,SC Bastia,Las Palmas UD,Real Betis Balompie,2016-11-20 18:00:00,0,112.0,0.0,0.0
54,54.0,0.5236253779208863,0.2601100236878825,0.21626459839123127,0.0,0.0,1.0,1.0,1.0,0.0,0.0,127.0,AS Monaco,0.0,0.0,0.0,2016-11-19 19:00:00,FC Lorient,CD Leganes,CA Osasuna,2016-11-20 18:00:00,1,119.0,3.0,2.0
55,55.0,0.13703671020737335,0.28205289979670434,0.5809103899959221,0.0,3.0,1.0,0.0,1.0,3.0,3.0,127.0,FC Lorient,0.0,3.0,1.0,2016-11-19 19:00:00,AS Monaco,Sporting Gijon,Real Sociedad,2016-11-20 18:00:00,1,113.0,0.0,1.0
56,56.0,0.4270678763325345,0.2964185116365419,0.2765136120309235,0.0,3.0,1.0,0.0,1.0,0.0,0.0,123.0,AS Nancy,0.0,0.0,1.0,2016-11-19 19:00:00,Dijon FCO,SD Eibar,Celta de Vigo,2016-11-20 18:00:00,1,115.0,3.0,1.0
57,57.0,0.4665728638411672,0.3197435424164629,0.21368359374237,0.0,0.0,0.0,1.0,0.0,0.0,0.0,123.0,Dijon FCO,0.0,0.0,1.0,2016-11-19 19:00:00,AS Nancy,Atletico Madrid,Real Madrid,2016-11-20 18:00:00,1,118.0,0.0,0.0
58,58.0,0.18875514455046866,0.2950319065571849,0.5162129488923466,0.0,3.0,1.0,1.0,0.0,3.0,3.0,128.0,FC Girondins Bordeaux,0.0,3.0,1.0,2016-11-19 19:00:00,EA Guingamp,Olympique Marseille,SM Caen,2016-11-19 19:00:00,1,125.0,3.0,1.0
59,59.0,0.17576667141336294,0.3194924456106589,0.5047408829759781,0.0,0.0,1.0,0.0,0.0,3.0,3.0,128.0,EA Guingamp,1.0,3.0,3.0,2016-11-19 19:00:00,FC Girondins Bordeaux,FC Metz,Toulouse FC,2016-11-19 19:00:00,0,122.0,3.0,2.0
