,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,diff_goal_for,diff_goal_allowed,diff_attacks,diff_dangerous_attacks,diff_goal_attempts,diff_ball_safe,rpi,goals_for,goals_allowed,goals,points,offensive_ranking,opp_defensive_ranking,rpi_ranking,opp_rpi_ranking
56,39.0,77,SV Darmstadt 98,68.0,FC Augsburg,2016-09-24 13:30:00,5,3.0,0,5-4-1,-5,33,-38720.0,-3933.0,-264.0,-19304.0,0.618506493506,2,7,0,0,0.0,0.33333,1.0,1.0
57,45.0,78,1 FC Cologne,74.0,RB Leipzig,2016-09-25 15:30:00,5,3.0,1,4-4-2,0,0,-10260.0,-4536.0,108.0,-11792.0,0.654761904762,6,1,0,0,0.66666,1.0,1.0,0.0
58,47.0,81,Granada CF,84.0,Athletic Bilbao,2016-09-21 20:00:00,5,3.0,1,4-2-3-1,7,77,-17045.0,-3240.0,255.0,-2808.0,0.427083333333,4,9,0,0,0.66666,0.66666,0.33333,0.0
59,48.0,82,Espanyol Barcelona,94.0,CA Osasuna,2016-09-22 18:00:00,5,3.0,0,4-4-2,5,-24,-10648.0,-3936.0,-33.0,0.0,0.632472826087,3,5,0,0,0.0,0.0,1.0,0.0
60,50.0,83,CD Alaves,95.0,Valencia CF,2016-09-22 20:00:00,5,3.0,0,5-4-1,-5,-35,-4960.0,-5560.0,-1083.0,7455.0,0.494791666667,2,1,0,0,0.0,0.33333,0.33333,0.0
61,47.0,84,Athletic Bilbao,81.0,Granada CF,2016-09-21 20:00:00,5,3.0,0,4-2-3-1,-7,-77,17045.0,3240.0,-255.0,2808.0,0.334441489362,3,2,0,0,0.33333,0.0,0.0,0.33333
62,42.0,85,Sevilla FC,91.0,Real Betis Balompie,2016-09-20 20:00:00,5,3.0,1,4-2-3-1,-16,-12,-30609.0,-13040.0,-1037.0,-12816.0,0.644241417497,3,2,0,0,0.33333,0.0,1.0,0.33333
63,49.0,86,Deportivo La Coruna,97.0,CD Leganes,2016-09-22 18:00:00,5,3.0,1,4-4-2,-4,-48,15147.0,16560.0,495.0,17019.0,0.546875,0,1,0,0,0.66666,0.33333,0.66666,0.66666
64,41.0,87,Malaga CF,99.0,SD Eibar,2016-09-20 18:00:00,5,3.0,1,4-2-3-1,-12,21,17465.0,12259.0,100.0,2772.0,0.454545454545,2,5,0,0,0.33333,0.66666,0.33333,1.0
65,44.0,88,Celta de Vigo,98.0,Sporting Gijon,2016-09-21 18:00:00,5,3.0,1,4-2-3-1,-3,0,25671.0,9280.0,123.0,16385.0,0.267045454545,1,6,0,0,0.0,0.0,0.0,1.0
66,45.0,89,Real Sociedad,96.0,Las Palmas UD,2016-09-21 20:00:00,5,3.0,1,4-2-3-1,-33,0,61360.0,19344.0,-336.0,7267.0,0.67196969697,4,3,0,0,0.33333,0.66666,1.0,0.0
67,43.0,90,Real Madrid,93.0,Villarreal CF,2016-09-21 18:00:00,5,3.0,1,4-1-4-1,65,8,-10815.0,8400.0,1924.0,-13000.0,0.548295454545,9,3,0,0,1.0,1.0,0.66666,0.66666
68,42.0,91,Real Betis Balompie,85.0,Sevilla FC,2016-09-20 20:00:00,5,3.0,0,4-3-3,16,12,30609.0,13040.0,1037.0,12816.0,0.438347868217,5,4,0,0,1.0,1.0,0.33333,1.0
69,46.0,92,FC Barcelona,100.0,Atletico Madrid,2016-09-21 20:00:00,5,3.0,1,3-4-3,-32,9,14212.0,7203.0,-219.0,13552.0,0.41847826087,7,3,0,0,1.0,1.0,0.33333,0.66666
70,43.0,93,Villarreal CF,90.0,Real Madrid,2016-09-21 18:00:00,5,3.0,0,4-4-2,-65,-8,10815.0,-8400.0,-1924.0,13000.0,0.600362318841,4,1,0,0,0.66666,1.0,0.66666,0.66666
71,48.0,94,CA Osasuna,82.0,Espanyol Barcelona,2016-09-22 18:00:00,5,3.0,1,5-3-2,-5,24,10648.0,3936.0,33.0,0.0,0.289772727273,2,7,0,0,0.0,0.33333,0.0,1.0
72,50.0,95,Valencia CF,83.0,CD Alaves,2016-09-22 20:00:00,5,3.0,1,4-3-3,5,35,4960.0,5560.0,1083.0,-7455.0,0.401041666667,3,6,0,0,1.0,0.33333,0.0,0.33333
73,45.0,96,Las Palmas UD,89.0,Real Sociedad,2016-09-21 20:00:00,5,3.0,0,4-2-3-1,33,0,-61360.0,-19344.0,336.0,-7267.0,0.398255813953,7,3,0,0,0.66666,1.0,0.0,1.0
74,49.0,97,CD Leganes,86.0,Deportivo La Coruna,2016-09-22 18:00:00,5,3.0,0,5-3-2,4,48,-15147.0,-16560.0,-495.0,-17019.0,0.5,2,7,0,0,0.33333,0.66666,0.66666,0.66666
75,44.0,98,Sporting Gijon,88.0,Celta de Vigo,2016-09-21 18:00:00,5,3.0,0,4-2-3-1,3,0,-25671.0,-9280.0,-123.0,-16385.0,0.608527131783,2,6,0,0,0.0,0.0,1.0,0.0
76,41.0,99,SD Eibar,87.0,Malaga CF,2016-09-20 18:00:00,5,3.0,0,4-2-3-1,12,-21,-17465.0,-12259.0,-100.0,-2772.0,0.72619047619,4,2,0,0,0.66666,0.66666,1.0,0.33333
77,46.0,100,Atletico Madrid,92.0,FC Barcelona,2016-09-21 20:00:00,5,3.0,0,4-4-2,32,-9,-14212.0,-7203.0,219.0,-13552.0,0.599637681159,9,0,0,0,1.0,0.66666,0.66666,0.33333
78,70.0,101,Olympique Marseille,120.0,FC Nantes,2016-09-25 18:45:00,7,3.0,1,4-2-3-1,15,20,-35612.0,-23868.0,-240.0,-11160.0,0.457629768605,4,6,0,0,0.66666,0.66666,0.33333,0.66666
79,63.0,102,FC Metz,107.0,Montpellier HSC,2016-09-24 18:00:00,7,3.0,0,4-5-1,0,-40,-12719.0,-13300.0,0.0,-6576.0,0.615942028986,3,3,0,0,0.33333,0.0,1.0,0.0
80,68.0,103,Lille OSC,108.0,AS Saint Etienne,2016-09-25 13:00:00,7,3.0,0,4-3-3,0,48,40825.0,14144.0,160.0,-8736.0,0.434523809524,2,7,0,0,0.33333,0.66666,0.33333,0.33333
81,69.0,104,OGC Nice,116.0,AS Nancy,2016-09-25 15:00:00,7,3.0,0,3-5-2,55,8,-22755.0,1744.0,228.0,-7735.0,0.671870812115,8,3,0,0,1.0,1.0,1.0,1.0
82,66.0,105,SM Caen,115.0,FC Girondins Bordeaux,2016-09-24 18:00:00,7,3.0,0,4-1-4-1,-35,96,7728.0,-12095.0,-416.0,1449.0,0.580555555556,1,10,0,0,0.0,0.66666,1.0,0.66666
83,65.0,106,SCO Angers,117.0,AS Monaco,2016-09-24 18:00:00,7,3.0,0,4-3-3,-13,-21,-36849.0,-7168.0,-357.0,-17936.0,0.460365853659,6,2,0,0,0.66666,0.66666,0.33333,1.0
84,63.0,107,Montpellier HSC,102.0,FC Metz,2016-09-24 18:00:00,7,3.0,1,4-2-3-1,0,40,12719.0,13300.0,0.0,6576.0,0.414285714286,3,7,0,0,0.33333,0.0,0.0,1.0
85,68.0,108,AS Saint Etienne,103.0,Lille OSC,2016-09-25 13:00:00,7,3.0,1,4-3-3,0,-48,-40825.0,-14144.0,-160.0,8736.0,0.468560030395,2,1,0,0,0.0,0.33333,0.33333,0.33333
86,62.0,109,FC Lorient,110.0,Olympique Lyon,2016-09-24 15:00:00,7,3.0,1,4-3-3,-35,-7,44744.0,8792.0,-735.0,27968.0,0.434523809524,1,3,0,0,0.0,0.33333,0.33333,0.0
87,62.0,110,Olympique Lyon,109.0,FC Lorient,2016-09-24 15:00:00,7,3.0,0,3-5-2,35,7,-44744.0,-8792.0,735.0,-27968.0,0.430197444832,6,4,0,0,1.0,1.0,0.0,0.33333
88,67.0,111,Dijon FCO,119.0,Stade Rennes,2016-09-24 18:00:00,7,3.0,1,4-5-1,-24,11,-32592.0,1365.0,-41.0,-42192.0,0.534865540963,1,6,0,0,0.0,0.33333,0.66666,0.0
89,64.0,112,EA Guingamp,113.0,SC Bastia,2016-09-24 18:00:00,7,3.0,0,4-4-2,5,5,-29592.0,6048.0,276.0,-4039.0,0.365079365079,3,3,0,0,0.66666,1.0,0.0,0.66666
90,64.0,113,SC Bastia,112.0,EA Guingamp,2016-09-24 18:00:00,7,3.0,1,4-5-1,-5,-5,29592.0,-6048.0,-276.0,4039.0,0.55886627907,2,2,0,0,0.33333,0.66666,0.66666,0.0
91,61.0,114,Toulouse FC,118.0,Paris St Germain,2016-09-23 18:45:00,7,3.0,1,4-4-1-1,-75,15,-36225.0,-9288.0,-432.0,-30085.0,0.321428571429,5,4,0,0,0.66666,1.0,0.0,0.66666
92,66.0,115,FC Girondins Bordeaux,105.0,SM Caen,2016-09-24 18:00:00,7,3.0,1,4-4-2,35,-96,-7728.0,12095.0,416.0,-1449.0,0.520390070922,6,2,0,0,1.0,0.0,0.66666,1.0
93,69.0,116,AS Nancy,104.0,OGC Nice,2016-09-25 15:00:00,7,3.0,1,4-3-3,-55,-8,22755.0,-1744.0,-228.0,7735.0,0.592329545455,3,1,0,0,0.0,0.0,1.0,1.0
94,65.0,117,AS Monaco,106.0,SCO Angers,2016-09-24 18:00:00,7,3.0,1,4-2-3-1,13,21,36849.0,7168.0,357.0,17936.0,0.689124899491,7,5,0,0,1.0,1.0,1.0,0.33333
95,61.0,118,Paris St Germain,114.0,Toulouse FC,2016-09-23 18:45:00,7,3.0,0,4-3-3,75,-15,36225.0,9288.0,432.0,30085.0,0.494704570792,10,1,0,0,1.0,0.33333,0.66666,0.0
96,67.0,119,Stade Rennes,111.0,Dijon FCO,2016-09-24 18:00:00,7,3.0,0,4-3-3,24,-11,32592.0,-1365.0,41.0,42192.0,0.419070512821,5,5,0,0,0.33333,0.33333,0.0,0.66666
97,70.0,120,FC Nantes,101.0,Olympique Marseille,2016-09-25 18:45:00,7,3.0,0,4-4-2,-15,-20,35612.0,23868.0,240.0,11160.0,0.535917207792,1,4,0,0,0.66666,0.0,0.66666,0.33333
