,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_for,goals_allowed,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_goals_allowed,ratio_of_attacks,0,1,2,SVC,actual
63,50,95,Valencia CF,83,CD Alaves,1,3,6,0.078947368,1,0.96969697,0.33333,1.013793103,0.571428571,1.049792531,1,0.588932806,1.042719937,0.085191501,-1.010796889,0,3
64,42,85,Sevilla FC,91,Real Betis Balompie,1,3,2,0.136363636,0.33333,0.897435897,0,0.978354978,0.57079646,0.941176471,4,0.595833333,-0.722687141,-0.690922325,-0.185766741,3,3
65,42,91,Real Betis Balompie,85,Sevilla FC,0,5,4,0.128205128,1,0.9,1,1.01754386,0.556034483,1.064516129,2,0.616161616,0.7790085,0.638934864,-0.124930108,0,0
66,49,86,Deportivo La Coruna,97,CD Leganes,1,0,1,0,0.66666,0.730769231,0.33333,1.047021944,0.54491018,1.013793103,7,0.571428571,-0.021882716,-0.866459176,-0.974439975,3,0
67,49,97,CD Leganes,86,Deportivo La Coruna,0,2,7,0.086956522,0.33333,0.958333333,0.66666,0.94921875,0.530864198,1.030888031,1,0.404494382,1.693161545,1.275967937,-0.446835171,0,3
68,41,87,Malaga CF,99,SD Eibar,1,2,5,0.076923077,0.33333,0.933333333,0.66666,0.941176471,0.595833333,1.141025641,2,0.63670412,0.27945803,-0.401585197,-0.884951393,3,3
69,41,99,SD Eibar,87,Malaga CF,0,4,2,0.166666667,0.66666,0.782608696,0.66666,0.89010989,0.514403292,1.01754386,5,0.556034483,0.905540693,0.730527259,0.478907575,0,0
70,44,88,Celta de Vigo,98,Sporting Gijon,1,1,6,0.045454545,0,0.818181818,0,1.050505051,0.516025641,1.077441077,6,0.425,-0.837528256,-1.021571931,-0.712741887,3,3
71,44,98,Sporting Gijon,88,Celta de Vigo,0,2,6,0.105263158,0,0.846153846,0,1.024291498,0.517786561,1.03358209,6,0.346570397,-0.054621584,0.572442142,0.683012668,1,0
72,45,89,Real Sociedad,96,Las Palmas UD,1,4,3,0.235294118,0.33333,0.884615385,0.66666,1.141025641,0.63670412,1.213286713,3,0.538904899,-0.61598599,-1.038442384,-0.527464857,3,3
73,45,96,Las Palmas UD,89,Real Sociedad,0,7,3,0.28,0.66666,0.8125,1,1.019011407,0.46641791,0.89010989,3,0.514403292,-0.095465236,0.740522029,0.758148488,1,0
74,43,90,Real Madrid,93,Villarreal CF,1,9,3,0.18,1,0.947368421,1,1.213286713,0.538904899,1.042194093,1,0.627530364,-0.775458953,-1.310072308,-1.071680669,3,1
75,43,93,Villarreal CF,90,Real Madrid,0,4,1,0.166666667,0.66666,0.842105263,1,0.935222672,0.497835498,1.019011407,3,0.46641791,1.281014535,1.102325923,0.364435747,0,1
76,46,92,FC Barcelona,100,Atletico Madrid,1,7,3,0.2,1,1,1,1.03358209,0.346570397,1.047021944,0,0.54491018,-0.226710913,-1.348721057,-1.2103988,3,1
77,46,100,Atletico Madrid,92,FC Barcelona,0,9,0,0.236842105,1,0.88,0.66666,1.030888031,0.404494382,1.050505051,3,0.516025641,-0.42094417,-0.162094979,-0.015996323,3,1
78,70,101,Olympique Marseille,120,FC Nantes,1,4,6,0.142857143,0.66666,0.789473684,0.66666,0.896797153,0.436507937,1.033457249,4,0.410071942,-0.450758467,-0.931805825,-0.931711213,3,3
79,70,120,FC Nantes,101,Olympique Marseille,0,1,4,0.03125,0.66666,0.785714286,0,0.969604863,0.420062696,1.162629758,6,0.571428571,-0.211513206,0.329060557,0.185011961,1,0
