,round,scheduled,match_id,team_id,team_name,opp_id,opp_name,is_home,goals_allowed,goals_for,goal_efficiency,offensive_ranking,opp_defensive_goal_efficiency,opp_defensive_ranking,opp_goals_allowed,opp_ratio_ball_safe_to_dangerous_attacks,opp_ratio_of_attacks,points,random,ratio_ball_safe_to_dangerous_attacks,ratio_of_attacks,actual,SVC,0,1,2
54,5,9/24/16 16:30,43,75,VfL Wolfsburg,70,Werder Bremen,0,5,1,0.025641026,0.66666,0.764705882,0,8,1.162068966,0.424332344,0,1,1.146067416,0.5,0,3,-1.941851113,-0.162358677,0.710046798
50,5,9/24/16 13:30,40,71,Bayer Leverkusen,73,1 FSV Mainz 05,0,3,4,0.133333333,0.66666,0.8,0,6,1.032967033,0.40070922,0,3,1.146953405,0.540625,3,0,0.686261799,0.647356589,0.115050987
52,5,9/24/16 13:30,40,73,1 FSV Mainz 05,71,Bayer Leverkusen,1,6,9,0.257142857,1,0.857142857,0.66666,3,0.975862069,0.434628975,0,1,0.961089494,0.615384615,0,1,-1.176147062,-0.61844044,0.241765185
53,5,9/25/16 15:30,45,74,RB Leipzig,78,1 FC Cologne,0,1,6,0.230769231,0.66666,0.96875,0.66666,1,1.135849057,0.455149502,0,0,1.053763441,0.459183673,1,0,0.820533997,0.189881541,0.064731318
57,5,9/25/16 15:30,45,78,1 FC Cologne,74,RB Leipzig,1,1,6,0.214285714,0.66666,0.923076923,1,1,1.032846715,0.445229682,0,3,1.073929961,0.423913043,1,3,1.247553286,-0.446808554,-0.842142119
58,5,9/21/16 20:00,47,81,Granada CF,84,Athletic Bilbao,1,9,4,0.142857143,0.66666,0.928571429,0.66666,2,1.049792531,0.588932806,0,3,0.978354978,0.57079646,0,0,0.047339247,0.726520158,0.457138019
61,5,9/21/16 20:00,47,84,Athletic Bilbao,81,Granada CF,0,2,3,0.130434783,0.33333,0.735294118,0,9,1.064516129,0.616161616,0,3,1.101265823,0.540229885,3,3,0.010624497,0.044894805,0.858713417
59,5,9/22/16 18:00,48,82,Espanyol Barcelona,94,CA Osasuna,0,5,3,0.1875,0,0.8,0,7,1.077441077,0.425,0,3,0.935222672,0.497835498,3,0,0.857427028,1.383635064,0.528067573
71,5,9/22/16 18:00,48,94,CA Osasuna,82,Espanyol Barcelona,1,7,2,0.117647059,0,0.791666667,0.33333,5,1.042194093,0.627530364,0,1,1.024291498,0.517786561,0,3,-0.40330264,0.157781526,-0.037665556
60,5,9/22/16 20:00,50,83,CD Alaves,95,Valencia CF,0,1,2,0.105263158,0,0.806451613,0.33333,6,1.101265823,0.540229885,0,0,0.94921875,0.530864198,0,0,0.234390634,0.669939186,-0.003279135
72,5,9/22/16 20:00,50,95,Valencia CF,83,CD Alaves,1,6,3,0.078947368,1,0.96969697,0.33333,1,1.013793103,0.571428571,0,3,1.049792531,0.588932806,3,0,0.473658212,0.216020815,-0.840621625
