,match_id,team_id,team_name,opp_id,opp_name,scheduled,round,games_played,is_home,current_formation,goals_for,goals_allowed,opp_goals_for,opp_goals_allowed,goal_efficiency,opp_defensive_goal_efficiency,ratio_of_attacks,opp_ratio_of_attacks,ratio_ball_safe_to_dangerous_attacks,opp_ratio_ball_safe_to_dangerous_attacks,rpi,opp_rpi,goals,points,offensive_ranking,opp_defensive_ranking
39,53.0,60,Sunderland AFC,59.0,Crystal Palace,2016-09-24 14:00:00,6,3.0,1,4-3-3,1,5,7,3,0.0714285714286,0.884615384615,0.436363636364,0.396610169492,0.905349794239,1.1568627451,0.543560606061,0.497908622909,0,0,0.0,0.66666
40,44.0,61,1899 Hoffenheim,62.0,FC Schalke 04,2016-09-25 13:30:00,5,3.0,1,4-3-3,5,5,1,7,0.161290322581,0.730769230769,0.552188552189,0.372340425532,1.05319148936,1.04832713755,0.451704545455,0.511283011431,0,0,1.0,0.33333
41,44.0,62,FC Schalke 04,61.0,1899 Hoffenheim,2016-09-25 13:30:00,5,3.0,0,4-2-3-1,1,7,5,5,0.0588235294118,0.861111111111,0.416666666667,0.5,1.06748466258,1.14606741573,0.433229813665,0.5852402746,0,0,0.0,0.0
42,38.0,63,Hertha BSC,69.0,Eintracht Frankfurt,2016-09-24 13:30:00,5,3.0,0,4-2-3-1,4,3,4,2,0.235294117647,0.9,0.372340425532,0.540625,1.04832713755,1.14695340502,0.390780730897,0.4375,0,0,0.0,1.0
43,37.0,64,SC Freiburg,67.0,Borussia Dortmund,2016-09-23 18:30:00,5,3.0,0,4-1-3-2,4,4,11,2,0.166666666667,0.909090909091,0.455149501661,0.465346534653,1.1358490566,0.859574468085,0.657196969697,0.620941558442,0,0,0.33333,1.0
44,41.0,65,Hamburger SV,76.0,Bayern Munich,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,1,8,8,1,0.0625,0.947368421053,0.445229681979,0.515679442509,1.03284671533,1.26431718062,0.517276422764,0.571658615137,0,0,0.0,1.0
45,42.0,66,Monchengladbach,72.0,FC Ingolstadt,2016-09-24 13:30:00,5,3.0,1,3-4-3,6,5,1,7,0.4,0.708333333333,0.424332344214,0.438679245283,1.16206896552,1.13672922252,0.281914893617,0.474677158999,0,0,0.33333,0.33333
46,37.0,67,Borussia Dortmund,64.0,SC Freiburg,2016-09-23 18:30:00,5,3.0,1,4-1-4-1,11,2,4,4,0.314285714286,0.764705882353,0.509090909091,0.423913043478,1.2,1.07392996109,0.588455149502,0.474753694581,0,0,1.0,1.0
47,39.0,68,FC Augsburg,77.0,SV Darmstadt 98,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,3,4,2,7,0.12,0.825,0.400709219858,0.509090909091,1.03296703297,1.2,0.634803921569,0.582479306267,0,0,0.33333,0.0
48,38.0,69,Eintracht Frankfurt,63.0,Hertha BSC,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,4,2,4,3,0.117647058824,0.884615384615,0.434628975265,0.416666666667,0.975862068966,1.06748466258,0.531349206349,0.551199887069,0,0,1.0,0.66666
49,43.0,70,Werder Bremen,75.0,VfL Wolfsburg,2016-09-24 16:30:00,5,3.0,1,4-2-3-1,3,8,1,5,0.142857142857,0.848484848485,0.509881422925,0.552188552189,0.992156862745,1.05319148936,0.369186046512,0.552367424242,0,0,0.33333,0.0
50,40.0,71,Bayer Leverkusen,73.0,1 FSV Mainz 05,2016-09-24 13:30:00,5,3.0,0,4-4-2,4,3,9,6,0.133333333333,0.8,0.540625,0.400709219858,1.14695340502,1.03296703297,0.559523809524,0.470419202164,0,0,0.66666,0.0
51,42.0,72,FC Ingolstadt,66.0,Monchengladbach,2016-09-24 13:30:00,5,3.0,0,4-2-3-1,1,7,6,5,0.04,0.772727272727,0.515679442509,0.509881422925,1.26431718062,0.992156862745,0.554347826087,0.50066717499,0,0,0.0,0.66666
52,40.0,73,1 FSV Mainz 05,71.0,Bayer Leverkusen,2016-09-24 13:30:00,5,3.0,1,4-2-3-1,9,6,4,3,0.257142857143,0.857142857143,0.615384615385,0.434628975265,0.961089494163,0.975862068966,0.5773657289,0.40101010101,0,0,1.0,0.66666
53,45.0,74,RB Leipzig,78.0,1 FC Cologne,2016-09-25 15:30:00,5,3.0,0,4-4-2,6,1,6,1,0.230769230769,0.96875,0.459183673469,0.455149501661,1.05376344086,1.1358490566,0.377083333333,0.490151515152,0,0,0.66666,0.66666
54,43.0,75,VfL Wolfsburg,70.0,Werder Bremen,2016-09-24 16:30:00,5,3.0,0,4-2-3-1,1,5,3,8,0.025641025641,0.764705882353,0.5,0.424332344214,1.14606741573,1.16206896552,0.469429347826,0.416508358663,0,0,0.66666,0.0
55,41.0,76,Bayern Munich,65.0,Hamburger SV,2016-09-24 13:30:00,5,3.0,0,4-3-3,8,1,1,8,0.25,0.68,0.438679245283,0.459183673469,1.13672922252,1.05376344086,0.452380952381,0.4625,0,0,1.0,0.33333
56,39.0,77,SV Darmstadt 98,68.0,FC Augsburg,2016-09-24 13:30:00,5,3.0,0,5-4-1,2,7,3,4,0.105263157895,0.862068965517,0.465346534653,0.615384615385,0.859574468085,0.961089494163,0.618506493506,0.426673567978,0,0,0.0,0.33333
57,45.0,78,1 FC Cologne,74.0,RB Leipzig,2016-09-25 15:30:00,5,3.0,1,4-4-2,6,1,6,1,0.214285714286,0.923076923077,0.423913043478,0.445229681979,1.07392996109,1.03284671533,0.654761904762,0.548703788925,0,0,0.66666,1.0
58,47.0,81,Granada CF,84.0,Athletic Bilbao,2016-09-21 20:00:00,5,3.0,1,4-2-3-1,4,9,3,2,0.142857142857,0.928571428571,0.570796460177,0.588932806324,0.978354978355,1.04979253112,0.427083333333,0.475282485876,0,0,0.66666,0.66666
59,48.0,82,Espanyol Barcelona,94.0,CA Osasuna,2016-09-22 18:00:00,5,3.0,0,4-4-2,3,5,2,7,0.1875,0.8,0.497835497835,0.425,0.935222672065,1.07744107744,0.632472826087,0.492424242424,0,0,0.0,0.0
60,50.0,83,CD Alaves,95.0,Valencia CF,2016-09-22 20:00:00,5,3.0,0,5-4-1,2,1,3,6,0.105263157895,0.806451612903,0.530864197531,0.540229885057,0.94921875,1.10126582278,0.494791666667,0.457189430336,0,0,0.0,0.33333
